********************For 0th molecule****************
Z: 17.0 | positon: (0.03,-0.89,-0.48) | Expt.Chrg: -0.369 | Predicted: -0.151 | Diff: -0.218
Z: 6.0 | positon: (0.75,0.92,-1.48) | Expt.Chrg: -0.215 | Predicted: -0.068 | Diff: -0.147
Z: 7.0 | positon: (0.58,1.33,-0.74) | Expt.Chrg: -0.476 | Predicted: -0.067 | Diff: -0.409
******************************************************
********************For 4th molecule****************
Z: 17.0 | positon: (4.40,0.19,0.29) | Expt.Chrg: 0.017 | Predicted: 0.103 | Diff: -0.086
Z: 6.0 | positon: (1.98,0.52,0.42) | Expt.Chrg: 0.092 | Predicted: -0.068 | Diff: 0.160
Z: 7.0 | positon: (1.79,-0.58,0.08) | Expt.Chrg: -0.297 | Predicted: -0.067 | Diff: -0.230
Z: 6.0 | positon: (0.56,-1.18,1.32) | Expt.Chrg: -0.177 | Predicted: -0.068 | Diff: -0.109
Z: 17.0 | positon: (0.84,-2.81,0.68) | Expt.Chrg: 0.279 | Predicted: 0.101 | Diff: 0.178
Z: 6.0 | positon: (-0.54,-0.98,0.88) | Expt.Chrg: -0.405 | Predicted: -0.068 | Diff: -0.337
Z: 16.0 | positon: (-1.47,-0.04,0.28) | Expt.Chrg: 1.220 | Predicted: 0.089 | Diff: 1.131
Z: 6.0 | positon: (-1.56,1.23,-0.96) | Expt.Chrg: -0.595 | Predicted: -0.067 | Diff: -0.528
Z: 16.0 | positon: (-4.38,1.15,-0.14) | Expt.Chrg: -0.025 | Predicted: 0.094 | Diff: -0.119
Z: 16.0 | positon: (-0.52,2.21,-0.58) | Expt.Chrg: 0.858 | Predicted: 0.089 | Diff: 0.769
Z: 6.0 | positon: (-0.39,0.59,0.26) | Expt.Chrg: -0.787 | Predicted: -0.069 | Diff: -0.718
Z: 7.0 | positon: (0.32,0.66,-0.11) | Expt.Chrg: -0.179 | Predicted: -0.069 | Diff: -0.110
******************************************************
********************For 5th molecule****************
Z: 17.0 | positon: (4.51,-0.07,1.07) | Expt.Chrg: 0.203 | Predicted: 0.104 | Diff: 0.099
Z: 6.0 | positon: (2.97,0.14,0.43) | Expt.Chrg: -0.072 | Predicted: -0.067 | Diff: -0.004
Z: 7.0 | positon: (1.81,-1.67,-0.43) | Expt.Chrg: -0.208 | Predicted: -0.067 | Diff: -0.141
Z: 6.0 | positon: (-0.02,-2.41,0.64) | Expt.Chrg: -0.438 | Predicted: -0.068 | Diff: -0.370
Z: 17.0 | positon: (-0.78,-2.34,1.42) | Expt.Chrg: 1.094 | Predicted: 0.099 | Diff: 0.995
Z: 6.0 | positon: (-0.80,-0.61,-0.08) | Expt.Chrg: -0.468 | Predicted: -0.069 | Diff: -0.399
Z: 16.0 | positon: (-2.71,-0.12,0.38) | Expt.Chrg: 0.212 | Predicted: 0.089 | Diff: 0.123
Z: 6.0 | positon: (-2.09,0.87,-0.68) | Expt.Chrg: -0.982 | Predicted: -0.068 | Diff: -0.914
Z: 16.0 | positon: (-3.71,1.99,-0.42) | Expt.Chrg: 0.119 | Predicted: 0.092 | Diff: 0.027
Z: 16.0 | positon: (-1.81,2.09,-0.06) | Expt.Chrg: 0.899 | Predicted: 0.090 | Diff: 0.809
Z: 6.0 | positon: (-0.22,1.74,-0.67) | Expt.Chrg: -0.338 | Predicted: -0.068 | Diff: -0.270
Z: 7.0 | positon: (0.73,1.46,-0.69) | Expt.Chrg: -0.022 | Predicted: -0.067 | Diff: 0.046
******************************************************
********************For 6th molecule****************
Z: 17.0 | positon: (4.32,0.14,-0.27) | Expt.Chrg: -0.564 | Predicted: 0.102 | Diff: -0.666
Z: 6.0 | positon: (1.52,-1.09,-0.86) | Expt.Chrg: -0.041 | Predicted: -0.069 | Diff: 0.028
Z: 7.0 | positon: (2.06,-1.50,0.18) | Expt.Chrg: -0.091 | Predicted: -0.068 | Diff: -0.023
Z: 6.0 | positon: (0.27,-2.45,1.46) | Expt.Chrg: -1.049 | Predicted: -0.067 | Diff: -0.981
Z: 17.0 | positon: (-0.27,-2.56,1.39) | Expt.Chrg: 1.812 | Predicted: 0.100 | Diff: 1.712
Z: 6.0 | positon: (-0.81,-1.06,-0.91) | Expt.Chrg: -0.179 | Predicted: -0.068 | Diff: -0.111
Z: 16.0 | positon: (-3.09,-0.50,-0.11) | Expt.Chrg: -0.017 | Predicted: 0.089 | Diff: -0.106
Z: 6.0 | positon: (-2.77,1.03,-1.42) | Expt.Chrg: -0.134 | Predicted: -0.066 | Diff: -0.067
Z: 16.0 | positon: (-4.41,2.23,-0.39) | Expt.Chrg: 0.193 | Predicted: 0.096 | Diff: 0.096
Z: 16.0 | positon: (-0.63,2.02,-0.11) | Expt.Chrg: 0.121 | Predicted: 0.088 | Diff: 0.032
Z: 6.0 | positon: (0.95,0.59,-0.23) | Expt.Chrg: -0.113 | Predicted: -0.069 | Diff: -0.044
Z: 7.0 | positon: (1.67,0.79,-1.30) | Expt.Chrg: 0.063 | Predicted: -0.067 | Diff: 0.131
******************************************************
********************For 7th molecule****************
Z: 17.0 | positon: (-0.53,-3.00,-0.41) | Expt.Chrg: -0.410 | Predicted: 0.070 | Diff: -0.480
Z: 6.0 | positon: (-0.06,-0.69,-0.48) | Expt.Chrg: 0.162 | Predicted: -0.055 | Diff: 0.217
Z: 6.0 | positon: (1.84,-0.14,0.00) | Expt.Chrg: -0.177 | Predicted: -0.056 | Diff: -0.121
Z: 35.0 | positon: (2.65,-1.37,0.02) | Expt.Chrg: 0.536 | Predicted: 0.227 | Diff: 0.309
Z: 6.0 | positon: (1.43,1.12,0.02) | Expt.Chrg: -0.023 | Predicted: -0.056 | Diff: 0.033
Z: 8.0 | positon: (2.31,0.60,0.75) | Expt.Chrg: -0.208 | Predicted: -0.073 | Diff: -0.136
Z: 7.0 | positon: (0.63,1.64,1.13) | Expt.Chrg: -0.253 | Predicted: -0.070 | Diff: -0.183
Z: 6.0 | positon: (0.14,1.11,0.12) | Expt.Chrg: 0.040 | Predicted: -0.056 | Diff: 0.096
Z: 7.0 | positon: (-1.94,1.76,0.71) | Expt.Chrg: 0.127 | Predicted: -0.069 | Diff: 0.196
Z: 6.0 | positon: (-2.88,0.95,0.28) | Expt.Chrg: 0.114 | Predicted: -0.056 | Diff: 0.170
Z: 6.0 | positon: (-2.71,-0.77,-0.45) | Expt.Chrg: 0.165 | Predicted: -0.055 | Diff: 0.220
Z: 7.0 | positon: (-1.08,0.17,-0.44) | Expt.Chrg: -0.363 | Predicted: -0.070 | Diff: -0.293
Z: 1.0 | positon: (0.78,2.82,0.76) | Expt.Chrg: 0.306 | Predicted: 0.106 | Diff: 0.200
Z: 1.0 | positon: (-3.39,0.97,0.45) | Expt.Chrg: -0.028 | Predicted: 0.106 | Diff: -0.134
Z: 1.0 | positon: (-2.61,-1.31,0.13) | Expt.Chrg: 0.012 | Predicted: 0.106 | Diff: -0.094
******************************************************
********************For 8th molecule****************
Z: 17.0 | positon: (0.24,-2.75,-0.31) | Expt.Chrg: 1.038 | Predicted: 0.069 | Diff: 0.969
Z: 6.0 | positon: (0.13,-1.67,-0.22) | Expt.Chrg: -0.496 | Predicted: -0.055 | Diff: -0.441
Z: 6.0 | positon: (1.51,-1.14,0.17) | Expt.Chrg: -0.309 | Predicted: -0.056 | Diff: -0.253
Z: 35.0 | positon: (3.24,-1.43,-0.12) | Expt.Chrg: 0.268 | Predicted: 0.228 | Diff: 0.040
Z: 6.0 | positon: (1.85,1.03,0.60) | Expt.Chrg: 0.316 | Predicted: -0.056 | Diff: 0.372
Z: 8.0 | positon: (2.92,0.83,0.86) | Expt.Chrg: -0.211 | Predicted: -0.072 | Diff: -0.139
Z: 7.0 | positon: (0.11,1.46,0.79) | Expt.Chrg: -0.074 | Predicted: -0.070 | Diff: -0.004
Z: 6.0 | positon: (-0.14,1.01,1.00) | Expt.Chrg: -0.171 | Predicted: -0.055 | Diff: -0.116
Z: 7.0 | positon: (-2.54,1.32,1.08) | Expt.Chrg: -0.078 | Predicted: -0.069 | Diff: -0.009
Z: 6.0 | positon: (-3.07,0.41,0.20) | Expt.Chrg: -0.072 | Predicted: -0.056 | Diff: -0.016
Z: 6.0 | positon: (-2.33,-0.82,0.83) | Expt.Chrg: -0.054 | Predicted: -0.056 | Diff: 0.002
Z: 7.0 | positon: (-0.63,-0.40,-0.87) | Expt.Chrg: -0.282 | Predicted: -0.069 | Diff: -0.212
Z: 1.0 | positon: (0.21,2.05,0.97) | Expt.Chrg: 0.109 | Predicted: 0.106 | Diff: 0.003
Z: 1.0 | positon: (-3.60,0.88,-0.03) | Expt.Chrg: 0.027 | Predicted: 0.106 | Diff: -0.079
Z: 1.0 | positon: (-3.00,-1.14,-0.99) | Expt.Chrg: -0.012 | Predicted: 0.106 | Diff: -0.118
******************************************************
********************For 9th molecule****************
Z: 17.0 | positon: (-0.49,-3.09,-0.69) | Expt.Chrg: 0.254 | Predicted: 0.070 | Diff: 0.184
Z: 6.0 | positon: (-0.10,-1.37,-0.97) | Expt.Chrg: -0.253 | Predicted: -0.055 | Diff: -0.198
Z: 6.0 | positon: (0.39,-0.76,-0.10) | Expt.Chrg: -0.253 | Predicted: -0.056 | Diff: -0.197
Z: 35.0 | positon: (2.85,-1.20,-0.15) | Expt.Chrg: -0.131 | Predicted: 0.228 | Diff: -0.359
Z: 6.0 | positon: (1.17,0.53,-0.40) | Expt.Chrg: 0.130 | Predicted: -0.056 | Diff: 0.186
Z: 8.0 | positon: (2.47,1.45,0.43) | Expt.Chrg: -0.331 | Predicted: -0.072 | Diff: -0.259
Z: 7.0 | positon: (0.97,1.69,0.48) | Expt.Chrg: -0.442 | Predicted: -0.069 | Diff: -0.373
Z: 6.0 | positon: (-1.03,0.19,-0.23) | Expt.Chrg: 0.049 | Predicted: -0.055 | Diff: 0.104
Z: 7.0 | positon: (-2.64,2.13,-0.60) | Expt.Chrg: -0.126 | Predicted: -0.069 | Diff: -0.057
Z: 6.0 | positon: (-2.75,0.78,0.13) | Expt.Chrg: -0.231 | Predicted: -0.056 | Diff: -0.175
Z: 6.0 | positon: (-3.30,-1.00,-0.46) | Expt.Chrg: -0.106 | Predicted: -0.055 | Diff: -0.051
Z: 7.0 | positon: (-1.13,0.35,-0.22) | Expt.Chrg: 0.795 | Predicted: -0.070 | Diff: 0.865
Z: 1.0 | positon: (0.29,2.40,1.14) | Expt.Chrg: 0.309 | Predicted: 0.106 | Diff: 0.203
Z: 1.0 | positon: (-4.88,0.53,0.00) | Expt.Chrg: 0.205 | Predicted: 0.106 | Diff: 0.099
Z: 1.0 | positon: (-2.25,-2.06,-0.32) | Expt.Chrg: 0.134 | Predicted: 0.106 | Diff: 0.028
******************************************************
********************For 10th molecule****************
Z: 6.0 | positon: (4.17,-0.62,-0.94) | Expt.Chrg: -0.037 | Predicted: -0.031 | Diff: -0.006
Z: 6.0 | positon: (2.63,0.03,-1.04) | Expt.Chrg: -0.419 | Predicted: -0.031 | Diff: -0.388
Z: 6.0 | positon: (2.96,-0.37,0.01) | Expt.Chrg: -0.343 | Predicted: -0.031 | Diff: -0.312
Z: 6.0 | positon: (1.74,-0.61,0.98) | Expt.Chrg: -0.065 | Predicted: -0.029 | Diff: -0.037
Z: 8.0 | positon: (0.55,-2.54,1.74) | Expt.Chrg: -0.160 | Predicted: -0.085 | Diff: -0.074
Z: 7.0 | positon: (-0.85,0.20,0.70) | Expt.Chrg: -0.165 | Predicted: -0.066 | Diff: -0.099
Z: 7.0 | positon: (-0.82,0.50,-0.25) | Expt.Chrg: -0.848 | Predicted: -0.065 | Diff: -0.783
Z: 6.0 | positon: (-2.14,-0.08,0.66) | Expt.Chrg: 0.138 | Predicted: -0.032 | Diff: 0.169
Z: 6.0 | positon: (-3.48,0.34,-0.34) | Expt.Chrg: -0.611 | Predicted: -0.031 | Diff: -0.580
Z: 17.0 | positon: (-4.25,-0.11,-1.55) | Expt.Chrg: 0.769 | Predicted: -0.010 | Diff: 0.779
Z: 16.0 | positon: (-0.49,0.95,-0.51) | Expt.Chrg: 1.459 | Predicted: -0.042 | Diff: 1.501
Z: 6.0 | positon: (1.52,-0.14,-0.77) | Expt.Chrg: -0.128 | Predicted: -0.029 | Diff: -0.098
Z: 7.0 | positon: (2.54,0.97,-1.21) | Expt.Chrg: -0.102 | Predicted: -0.066 | Diff: -0.035
Z: 1.0 | positon: (5.01,1.16,0.06) | Expt.Chrg: 0.074 | Predicted: 0.092 | Diff: -0.017
Z: 1.0 | positon: (4.50,1.05,-0.49) | Expt.Chrg: 0.068 | Predicted: 0.092 | Diff: -0.023
Z: 1.0 | positon: (3.56,0.91,-0.38) | Expt.Chrg: 0.316 | Predicted: 0.092 | Diff: 0.224
Z: 1.0 | positon: (2.89,-2.16,0.83) | Expt.Chrg: 0.154 | Predicted: 0.091 | Diff: 0.063
Z: 1.0 | positon: (-3.96,1.84,1.49) | Expt.Chrg: 0.008 | Predicted: 0.091 | Diff: -0.083
Z: 1.0 | positon: (-4.26,0.15,-0.78) | Expt.Chrg: -0.108 | Predicted: 0.092 | Diff: -0.200
******************************************************
********************For 11th molecule****************
Z: 6.0 | positon: (4.39,0.34,-0.25) | Expt.Chrg: -0.219 | Predicted: -0.032 | Diff: -0.186
Z: 6.0 | positon: (2.66,0.75,0.83) | Expt.Chrg: 0.070 | Predicted: -0.030 | Diff: 0.100
Z: 6.0 | positon: (2.01,-0.67,1.28) | Expt.Chrg: 0.226 | Predicted: -0.031 | Diff: 0.258
Z: 6.0 | positon: (0.52,-0.66,0.68) | Expt.Chrg: 0.224 | Predicted: -0.029 | Diff: 0.253
Z: 8.0 | positon: (1.87,-2.18,1.84) | Expt.Chrg: -0.264 | Predicted: -0.086 | Diff: -0.178
Z: 7.0 | positon: (1.04,0.29,0.16) | Expt.Chrg: -0.273 | Predicted: -0.066 | Diff: -0.206
Z: 7.0 | positon: (-1.81,-0.78,0.76) | Expt.Chrg: -0.064 | Predicted: -0.066 | Diff: 0.002
Z: 6.0 | positon: (-1.90,0.42,0.52) | Expt.Chrg: -0.151 | Predicted: -0.030 | Diff: -0.121
Z: 6.0 | positon: (-3.63,1.25,0.28) | Expt.Chrg: 0.055 | Predicted: -0.032 | Diff: 0.087
Z: 17.0 | positon: (-3.78,-0.41,-1.52) | Expt.Chrg: -0.312 | Predicted: -0.010 | Diff: -0.302
Z: 16.0 | positon: (-1.27,2.85,-1.22) | Expt.Chrg: 0.088 | Predicted: -0.036 | Diff: 0.124
Z: 6.0 | positon: (0.08,1.12,-0.67) | Expt.Chrg: -0.228 | Predicted: -0.031 | Diff: -0.197
Z: 7.0 | positon: (0.62,1.37,-1.19) | Expt.Chrg: 0.062 | Predicted: -0.066 | Diff: 0.128
Z: 1.0 | positon: (3.78,0.35,0.42) | Expt.Chrg: 0.039 | Predicted: 0.091 | Diff: -0.052
Z: 1.0 | positon: (3.42,-0.05,-0.83) | Expt.Chrg: 0.135 | Predicted: 0.091 | Diff: 0.044
Z: 1.0 | positon: (3.45,0.93,-0.59) | Expt.Chrg: 0.160 | Predicted: 0.091 | Diff: 0.068
Z: 1.0 | positon: (2.07,0.17,0.83) | Expt.Chrg: 0.044 | Predicted: 0.091 | Diff: -0.047
Z: 1.0 | positon: (-3.64,1.09,1.22) | Expt.Chrg: 0.122 | Predicted: 0.091 | Diff: 0.031
Z: 1.0 | positon: (-4.38,1.42,-0.67) | Expt.Chrg: 0.285 | Predicted: 0.091 | Diff: 0.194
******************************************************
********************For 12th molecule****************
Z: 6.0 | positon: (-1.36,-1.30,0.77) | Expt.Chrg: -0.291 | Predicted: -0.020 | Diff: -0.270
Z: 6.0 | positon: (-0.57,-1.27,-0.51) | Expt.Chrg: -0.263 | Predicted: -0.019 | Diff: -0.244
Z: 6.0 | positon: (0.36,-1.05,-1.35) | Expt.Chrg: -0.165 | Predicted: -0.018 | Diff: -0.147
Z: 6.0 | positon: (2.01,-1.55,-0.87) | Expt.Chrg: 0.372 | Predicted: -0.019 | Diff: 0.391
Z: 8.0 | positon: (3.39,-0.98,-0.84) | Expt.Chrg: -0.481 | Predicted: -0.100 | Diff: -0.381
Z: 7.0 | positon: (1.75,0.04,0.50) | Expt.Chrg: -0.328 | Predicted: -0.062 | Diff: -0.265
Z: 6.0 | positon: (0.91,1.37,0.59) | Expt.Chrg: 0.163 | Predicted: -0.020 | Diff: 0.183
Z: 8.0 | positon: (0.82,2.25,1.50) | Expt.Chrg: -0.495 | Predicted: -0.100 | Diff: -0.396
Z: 7.0 | positon: (0.38,0.61,0.15) | Expt.Chrg: -0.288 | Predicted: -0.062 | Diff: -0.226
Z: 6.0 | positon: (-1.90,2.01,-0.19) | Expt.Chrg: -0.110 | Predicted: -0.021 | Diff: -0.090
Z: 6.0 | positon: (-2.36,1.16,-0.53) | Expt.Chrg: -0.326 | Predicted: -0.021 | Diff: -0.305
Z: 16.0 | positon: (-2.21,-0.85,-1.24) | Expt.Chrg: 0.535 | Predicted: -0.115 | Diff: 0.649
Z: 1.0 | positon: (-0.81,-1.47,3.36) | Expt.Chrg: 0.123 | Predicted: 0.058 | Diff: 0.065
